,States Need To Learn
0,Arizona
1,Connecticut
2,Kentucky
3,Louisiana
4,Maryland
5,Massachusetts
6,Michigan
7,Minnesota
8,Missouri
9,New Hampshire
10,Oklahoma
11,Oregon
12,Pennsylvania
13,South Carolina
14,South Dakota
15,Tennessee
16,West Virginia
17,Wisconsin
18,Wyoming
